ID,Card Name,Short Name,Card Set,Color,Type,Subtype,Group,Occuran.,Mana Costs,Pow,Tuff
1158,Tawnos' Wand,Dwarves on a Stick,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1159,Tawnos' Weaponry,Call to Arms,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1160,Tetravus Effect 1,Create Drone,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1161,Tetravus Effect 2,Absorb Drone,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1162,Urza's Avenger,Modular Avenger,Antiquities,Brown,Instant,Effect,None,na,000000,na,na
1163,Xenic Poltergeist,True Possession,Antiquities,Black,Instant,Effect,None,na,000000,na,na
1164,Adun Oakenshield,Adun's Passing,Legends,Gold,Instant,Effect,None,na,000000,na,na
1165,Al-abara's Carpet,Up Where it's Safe,Legends,Brown,Instant,Effect,None,na,000000,na,na
1166,Alchor's Tomb,Shades of Grey,Legends,Brown,Instant,Effect,None,na,000000,na,na
1167,Arcades Sabboth,Sabboth Threat,Legends,Gold,Instant,Effect,None,na,000000,na,na
1168,Angus MacKenzie,Fog on a Stick,Legends,Gold,Instant,Effect,None,na,000000,na,na
1169,Ayesha Tanaka,Rust on a Stick,Legends,Gold,Instant,Effect,None,na,000000,na,na
1170,Black Mana Battery,Charge Black Battery,Legends,Brown,Instant,Effect,None,na,000000,na,na
1171,Blue Mana Battery,Charge Blue Battery,Legends,Brown,Instant,Effect,None,na,000000,na,na
1172,Boris Devilboon,Plop goes a Devil,Legends,Gold,Instant,Effect,None,na,000000,na,na
1173,Carrion Ants,Ant Swarm,Legends,Black,Instant,Effect,None,na,000000,na,na
1174,Crimson Manticore,Ugly Mug,Legends,Red,Instant,Effect,None,na,000000,na,na
1175,D'Avenant Archer,Apple? What Apple?,Legends,White,Instant,Effect,None,na,000000,na,na
1176,Dream Coat,New Coat of Paint,Legends,Blue,Instant,Effect,None,na,000000,na,na
1177,Emerald Dragonfly,Dragonfly Bite,Legends,Green,Instant,Effect,None,na,000000,na,na
1178,Floral Spuzzem,Artifact Compost,Legends,Green,Instant,Effect,None,na,000000,na,na
1179,Gabriel Angelfire,Modular Angelfire,Legends,Gold,Instant,Effect,None,na,000000,na,na
1180,Gauntlets of Chaos,Chaotic Effect,Legends,Brown,Instant,Effect,None,na,000000,na,na
1181,Ghosts of the Damned,Damned Ghosts,Legends,Brown,Instant,Effect,None,na,000000,na,na
1182,Giant Slug,Sluggish Slug,Legends,Black,Instant,Effect,None,na,000000,na,na
1183,Greater Realm of Preservation,Greater Protection,Legends,White,Instant,Effect,None,na,000000,na,na
1184,Greed,Gimme gimme!,Legends,Black,Instant,Effect,None,na,000000,na,na
1185,Green Mana Battery,Charge Green Battery,Legends,Brown,Instant,Effect,None,na,000000,na,na
1186,Gwendlyn Di Corsi,Sugar for Mommy,Legends,Gold,Instant,Effect,None,na,000000,na,na
1187,Halfdane,Half anyone he wants,Legends,Gold,Instant,Effect,None,na,000000,na,na
1188,Hammerheim,Wrong Turn,Legends,Grey,Instant,Effect,None,na,000000,na,na
1189,Hell's Caretaker,Body Snatchers,Legends,Black,Instant,Effect,None,na,000000,na,na
1190,Horn of Deafening,Tuba Blues,Legends,Brown,Instant,Effect,None,na,000000,na,na
1191,Horror of Horrors,Swampy Remedy,Legends,Black,Instant,Effect,None,na,000000,na,na
1192,Hyperion Blacksmith,Hyperion Twiddle,Legends,Red,Instant,Effect,None,na,000000,na,na
1193,Karakas,Back in Bowl,Legends,Grey,Instant,Effect,None,na,000000,na,na
1194,Kei Takahashi,Herbal Remedy,Legends,Gold,Instant,Effect,None,na,000000,na,na
1195,Killer Bees,Bee Stings,Legends,Green,Instant,Effect,None,na,000000,na,na
1196,Lady Evangela,Stop Fighting!,Legends,Gold,Instant,Effect,None,na,000000,na,na
1197,Kry Shield,The Krying Game,Legends,Brown,Instant,Effect,None,na,000000,na,na
1198,Land's Edge,Land's Edge Effect,Legends,Red,Instant,Effect,None,na,000000,na,na
1199,Lesser Werewolf,There Wolf!,Legends,Black,Instant,Effect,None,na,000000,na,na
1200,Life Chisel,Open Wide,Legends,Brown,Instant,Effect,None,na,000000,na,na
1201,Master of the Hunt,Wolves of the Hunt,Legends,Green,Instant,Effect,None,na,000000,na,na
1202,Mirror Universe,Dark Mirror,Legends,Brown,Instant,Effect,None,na,000000,na,na
1203,Nebuchadnezzar,Nebbiecasneezer,Legends,Gold,Instant,Effect,None,na,000000,na,na
1204,North Star,North Star Effect,Legends,Brown,Instant,Effect,None,na,000000,na,na
1205,Nova Pentacle,Pentacle Redirect,Legends,Brown,Instant,Effect,None,na,000000,na,na
1206,Osai Vultures,Carrion Cud,Legends,White,Instant,Effect,None,na,000000,na,na
1207,Pavel Maliki,Pavel PowerUp,Legends,Gold,Instant,Effect,None,na,000000,na,na
1208,Pendlehaven,Girlieman Pump Up,Legends,Grey,Instant,Effect,None,na,000000,na,na
1209,Pixie Queen,Fly and be Free!,Legends,Green,Instant,Effect,None,na,000000,na,na
1210,Pradesh Gypsies,Gypsy Curse,Legends,Green,Instant,Effect,None,na,000000,na,na
1211,Psionic Entity,Psuicide is Painful,Legends,Blue,Instant,Effect,None,na,000000,na,na
1212,Radjan Spirit,Earthbind on a Stick,Legends,Green,Instant,Effect,None,na,000000,na,na
1213,Ragnar,Field of Honor,Legends,Gold,Instant,Effect,None,na,000000,na,na
1214,Ramses Overdark,Bad Enchantment,Legends,Gold,Instant,Effect,None,na,000000,na,na
1215,Rasputin Dreamweaver,Rasputin Effect,Legends,Gold,Instant,Effect,None,na,000000,na,na
1216,Red Mana Battery,Charge Red Battery,Legends,Brown,Instant,Effect,None,na,000000,na,na
1217,Relic Barrier,Slap that Relic,Legends,Brown,Instant,Effect,None,na,000000,na,na
1218,Ring of Immortals,Avoid Fate on a Stick,Legends,Brown,Instant,Effect,None,na,000000,na,na
1219,Sentinel,Adjust Sentinel,Legends,Brown,Instant,Effect,None,na,000000,na,na
1220,Serpent Generator,Snake Factory,Legends,Brown,Instant,Effect,None,na,000000,na,na
1221,Shelkin Brownie,Fuzzy BandsWith,Legends,Green,Instant,Effect,None,na,000000,na,na
1222,Shimian Night Stalker,Night Martyr,Legends,Black,Instant,Effect,None,na,000000,na,na
1223,Spinal Villian,Gurgle Spurt,Legends,Red,Instant,Effect,None,na,000000,na,na
1224,Sword of the Ages,Sword of Wrath,Legends,Brown,Instant,Effect,None,na,000000,na,na
1225,Time Elemental,Back in Time,Legends,Blue,Instant,Effect,None,na,000000,na,na
1226,Tolaria,Parties Over,Legends,Grey,Instant,Effect,None,na,000000,na,na
1227,Tor Wauki,Bullseye!,Legends,Gold,Instant,Effect,None,na,000000,na,na
1228,Triassic Egg,Three Minute Egg,Legends,Brown,Instant,Effect,None,na,000000,na,na
1229,Tuknir Deathlock,Dinosaur Head,Legends,Gold,Instant,Effect,None,na,000000,na,na
1230,Urborg Effect 1,Urborg's Revenge,Legends,Grey,Instant,Effect,None,na,000000,na,na
1231,Urborg Effect 2,Guess a Gator got em,Legends,Grey,Instant,Effect,None,na,000000,na,na
1232,Vaevictis Asmadi,Nasty Dragon Thingie,Legends,Gold,Instant,Effect,None,na,000000,na,na
1233,Vampire Bats,Mad Mice with Wings,Legends,Black,Instant,Effect,None,na,000000,na,na
1234,Voodoo Doll,Voodoo Lady,Legends,Brown,Instant,Effect,None,na,000000,na,na
1235,Wall of Opposition,Wall of Pumps,Legends,Red,Instant,Effect,None,na,000000,na,na
1236,Wall of Wonder,Stuffy doll?,Legends,Blue,Instant,Effect,None,na,000000,na,na
1237,White Mana Battery,Charge White Battery,Legends,Brown,Instant,Effect,None,na,000000,na,na
1238,Willow Satyr,Satyr's Pipes,Legends,Green,Instant,Effect,None,na,000000,na,na
1239,Xira Arien,Nice Costume!,Legends,Gold,Instant,Effect,None,na,000000,na,na
1240,Electric Eel,Ohm! That Hertz!,Legends,Blue,Instant,Effect,None,na,000000,na,na
1241,Flood,Treading Water,Legends,Blue,Instant,Effect,None,na,000000,na,na
1242,Goblin Digging Team,Dig-dug,Legends,Red,Instant,Effect,None,na,000000,na,na
1243,Merfolk Assassin,Boating Accident,Legends,Blue,Instant,Effect,None,na,000000,na,na
1244,Miracle Worker,Workin' Wonders,Legends,White,Instant,Effect,None,na,000000,na,na
1245,Rag Man,Riches to Rags,Legends,Black,Instant,Effect,None,na,000000,na,na
1246,Savaen Elves,Purify Land,Legends,Green,Instant,Effect,None,na,000000,na,na
1247,Scarwood Bandits,Bandit Effect,Legends,Green,Instant,Effect,None,na,000000,na,na
1248,Scavenger Folk,Me Precioussss!,Legends,Green,Instant,Effect,None,na,000000,na,na
1249,Rubinia Soulsinger,Soulsinger Swing,Legends,Gold,Instant,Effect,None,na,000000,na,na

