ID,Card Name,Type Description,Artist Name,Rule Text,Quote
0196,Purelace,Interrupt,Sandra Everingham,"Change the color of target spell or target permanent to white.  Costs to cast, tap, maintain, or use a special ability of target remain unchanged.",
0197,Raging River,Enchantment,Sandra Everingham,"Opponent must divide non-flying defenders between to sides of river, you choose which side to attack on",
0198,Raise Dead,Sorcery,Jeff A. Menges,Take target creature from your graveyard and put it into your hand.,
0199,Red Element Blast ,Interrupt,Richard Thomas,Counter target blue spell destroy target blue permanent.,
0200,Red Ward,Enchant Creature,Dan Frazier,Target creature gains protection from red  The protection granted by Red Ward does not destroy Red Ward.,
0201,Regeneration,Enchant Creature,Quinton Hoover,|G: Regenerate target creature Regeneration enchants.,
0202,Regrowth,Sorcery,Dameon Willich,Return any card from your graveyard to your hand,
0203,Ressurection,Sorcery,Dan Frazier,Take a creature from your graveyard and put it directly into play,
0204,Reverse Damage,Instant,Dameon Willich,All damage dealt to you so far this turn by one source is retroactively added to your life total instead of subtracted.  Further damage this turn is treated normally.,
0205,Righteousness,Instant,Douglas Shuler,Target blocking creature gets +7/+7 until end of turn.,
0206,Roc of Kher Ridges,Summon Roc,Andi Rusu,,"We encountered a valley topped with immense boulders and eerie rock formations. Suddenly one of these boulders toppled from its perch and sprouted gargantuan wings , casting a shadow of darkness and sending us fleeing in terror."
0207,Rock Hydra ,Summon Hydra,Jeff A. Menges,"Gets +1/+1 head per |1 spent upon casting, each dam. point kills a head which regrow/grow  for |R |R |R",
0208,Rod of Ruin,Artifact,Christopher Rush,"|3 , |T: Rod of Ruin deals 1 damage to target creature or player.",
0209,Royal Assassin,Summon Assassin,Tom Wanerstrand,|T: Destroy target tapped creature.,"Trained in the arts of stealth, the Royal Assassins choose their victims carefully, relying on timing and precision rather than brute force."
0210,Sacrifice,Interrupt,Dan Frazier,Destroy a creature and add black mana equal to creatures casting cost to you mana pool,
0211,Samite Healer,Summon Cleric,Tom Wanerstrand,|T: Prevent 1 damage to any creature or player.,Healers ultimately acquire the divine gifts of spiritual and physical wholeness. The most devout are also granted the ability to pass physical wholeness on to others.
0212,Savannah,Land,Rob Alexander,,
0213,Savannah Lions,Summon Lions,Daniel Gelon,,"The traditional kings of the jungle command a healthy respect in other climates as well. Relying mainly on their stealth and speed, Savannah Lions can take a victim by surprise, even in the endless, flat plains of their homeland."
0214,Scathe Zombies,Summon Zombies,Jesper Myrfors,,"""The groaned, they stirred, they all uprose, / Nor spake, nor moved their eyes; / It had been strange, even in a dream, / To have seen those dead men rise. "" --- Samuel Coleridge, ""The Rime of the Ancient Mariner"""
0215,Scavenging Ghoul,Summon Ghoul,Jeff A. Menges,"At the end of each turn, put a corpse counter on Scavenging Ghoul for each creature put into the graveyard during that turn.   |0 : Remove a corpse counter from Scavenging Ghoul to regenerate it.",
0216,Scrubland,Land,Jesper Myrfors,,
0217,Scryb Sprites,Summon Faeries,Amy Weber,Flying,The only sound was the gentle clicking of the Faeries' wings. Then those intruders who were still standing turned and fled. One thing was certain: They didn't think the Scryb were very funny anymore.
0218,Sea Serpent,Summon Serpent,Jeff A. Menges,"Cannot attack if defending player controls no islands.  If at any time you control no islands, bury Sea Serpent.","Legend has it that Serpents used to be bigger, but how could that be?"
0219,Sedge Troll ,Summon Troll,Dan Frazier,"Regenerates for cost of |b , gains +1/+1 if controller has swamps in play","The stench in the hovel was overpowering; something loathsome was cooking. Occasionally something surfaced in the thick paste, but my host would casually push it down before I could make out what it was."
0220,Sengir Vampire,Summon Vampire,Anson Maddocks,Flying  Put a +1/+1 counter on Sengir Vampire each time a creature is put into the graveyard the same turn Sengir Vampire damaged it.,
0221,Serra Angel,Summon Angel,Douglas Shuler,Flying  Attacking does not cause Serra Angel to tap.,"Born with wings of light and a sword of faith, this heavenly incarnation embodies both fury and purity."
0222,Shanodin Dryads,Summon Nymphs,Anson Maddocks,Forestwalk,"Moving without sound, swift figures pass through branches and undergrowth completely unhindered. One with the trees around them, the Dryads of Shanodin Forest are seen only when they wish to be."
0223,Shatter ,Instant,Amy Weber,Destroy target artifact.,
0224,Shivan Dragon,Summon Dragon,Melissa Benson,Flying  |R: :+1/+0 until end of turn,"While it's true most Dragons are cruel, the Shivan Dragon seems to take particular glee in the misery of others, often tormenting its victims much like a cat plays with a mouse before delivering the final blow."
0225,Simulacrum,Instant,Mark Poole,All damage done to you so far this turn is instead retroactively applied to a target creature you control.  Further damage this turn is treated normally.,
0226,Sinkhole,Sorcery,Sandra Everingham,Destroys any one land,
0227,Siren's Call,Instant,Anson Maddocks,"All of target opponent's creatures that can attack must do so.  At end of turn, destroy any non-wall creatures that did not attack.  Play only during opponent's turn, before opponent's attack.  Siren's Call does not affect creatures brought under...",
0228,Sleight of Mind,Interrupt,Mark Poole,"Change the text of target spell or target permanent by replacing all occurrences of one color word with another. For example, you may change ""Counters black spells"" to ""Counters blue spells"".  Sleight of Mind cannot change mana symbols.",
0229,Smoke,Enchantment,Jesper Myrfors,No player may untap more than one creature during his or her untap phase.,
0230,Sol Ring,Artifact,Mark Tedin,|T: to add |2 to pool - Interrupt,
0231,Soul Net,Artifact,Dameon Willich,|1: Gain 1 life when a creature is put into the graveyard from play.  Use this effect only once each time a creature is put into the graveyard.,
0232,Spell Blast,Interrupt,Brian Snoddy,Counter target spell.  X is the casting cost of the target spell.,
0233,Stasis,Enchantment,Fay Jones,"Players do not get an untap phase.  During your upkeep, pay |U or destroy Stasis.",
0234,Steal Artifact,Enchant Artifact,Amy Weber,Gain control of target artifact.,
0235,Stone Giant,Summon Giant,Dameon Willich,"|T: Target creature you control, which must have toughness less than Stone Giant's power, gains flying until end of turn.  Destroy that creature at end of turn.  Other effects may later be used to increase the creature's toughness beyond...","What goes up, must come down."
0236,Stone Rain,Sorcery,Daniel Gelon,Destroy target land.,
0237,Stream of Life ,Sorcery,Mark Poole,Target player gains X life.,
0238,Sunglasses of Urza,Artifact,Dan Frazier,You may use white mana in your mana pool as either white or red mana.,
0239,Swamp,Land,Dan Frazier,,
0240,Sword to Plowshare,Instant,Jeff A. Menges,Remove target creature from the game.  The creature's controller gains life equal to its power.,
0241,Taiga,Land,Rob Alexander,,
0242,Terror,Instant,Ron Spencer,"Bury target non-black, non-artifact creature.",
0243,The Hive,Artifact,Sandra Everingham,"|5, |T: Put a Wasp token into play.  Treat this token as a 1/1 artifact creature with flying.",
0244,Thicket Basilisk,Summon Basilisk,Dan Frazier,"At the end of combat, destroy all non-wall creatures blocking or blocked by Basilisk.","Moss-covered statues littered the area, a macabre monument to the Basilisk's power."
0245,Thoughtlace,Interrupt,Mark Poole,"Change the color of target spell or target permanent to blue.  Costs to cast, tap, maintain, or use a special ability of target remain unchanged.",
0246,Throne of Bone,Artifact,Anson Maddocks,|1: Gain 1 life for a successfully cast black spell.  Use this effect either when the spell is cast or later in the turn but only once for each black spell cast.,
0247,Timber Wolves,Summon Wolves,Melissa Benson,Banding,"Though many think of Wolves as solitary predators, they are actually extremely social animals. During a hunt they often call to each other, which can be quite unsettling for their prey."
0248,Time Vault,Artifact,Mark Tedin,"|T: to gain an additional turn, untapping gives opponent extra turn, begins tapped",
0249,Time Walk,Sorcery,Amy Weber,Take an extra turn after this one,
0250,Timetwister,Sorcery,Mark Tedin,"Both players must shuffle hand, library and graveyard together and draw 7 new cards, discard timetwister",
0251,Tranquility,Sorcery,Douglas Shuler,Destroy all enchantments.,
0252,Tropical Island,Land,Jesper Myrfors,,
0253,Tsunami,Sorcery,Richard Thomas,Destroy all islands.,
0254,Tundra,Land,Jesper Myrfors,,
0255,Tunnel,Instant,Dan Frazier,Bury target wall.,
0256,Twiddle,Instant,Rob Alexander,"|T: or untap target land, artifact, or creature.",
0257,Two Headed Giant,Summon Giant,Anson Maddocks,"May block two attacking creatures, controller choose how to divide damage",
0258,Underground Sea,Land,Rob Alexander,,
0259,Unholy Strength,Enchant Creature,Douglas Shuler,Target creature gets +2/+1.,
0260,Unsummon,Instant,Douglas Shuler,Return target creature to owner's hand.,
0261,Uthden Troll,Summon Troll,Douglas Shuler,|R: Regenerate,"``Oi oi oi, me gotta hurt in 'ere, / Oi oi oi, me smell a ting is near, / Gonna bosh 'n gonna nosh 'n da hurt'll disappear.'' ---Troll chant"
0262,Enchantress ,Summon Enchantress,Kev Brockschmidt, |0 : Draw a card when you successfully cast an enchantment.  Use this effect only once for each enchantment cast.,"Some say magic was first practiced by women, who have always felt strong ties to the land."
0263,Doppleganger,Summon Doppleganger,Quinton Hoover," Doppleganger acquires normal characteristics of any creature in play, during upkeep a new creature may be mimicked",
0264,Veteran Bodyguard,Summon Bodyguard,Douglas Shuler,"If untapped, any damage done to controller by unblocked creatures must be done to bodyguard instead","Good bodyguards are hard to find, mainly because they don't live long."
0265,Volcanic Eruption,Sorcery,Douglas Shuler,Destroy X target mountains.  Volcanic Eruption deals 1 damage to each creature and player for each mountain put into the graveyard in this way.,
0266,Volcanic Island,Land,Brian Snoddy,,
0267,Wall of Air,Summon Wall,Richard Thomas,Flying,"``This `standing windstorm' can hold us off indefinitely? Ridiculous!'' Saying nothing, she put a pinch of salt on the table. With a bang she clapped her hands, and the salt disappeared, blown away."
0268,Wall of Bone,Summon Wall,Anson Maddocks,|B: Regenerate,"The Wall of Bone is said to be an aspect of the Great Wall in Hel, where the bones of all sinners wait for Ragnarok, when Hela will call them forth for the final battle."
0269,Wall of Brambles,Summon Wall,Anson Maddocks,|G: Regenerate,"``What else, when chaos draws all forces inward to shape a single leaf.'' ---Conrad Aiken"
0270,Wall of Fire,Summon Wall,Richard Thomas,|R: +1/+0 until end of turn,"Conjured from the bowels of hell, the fiery wall forms an impassable barrier, searing the soul of any creature attempting to pass through its terrible bursts of flame."
