Sentinel,Card Name,Game ID,Card Status,,,,Original Set,,Additional Cardsets,,,,Mana Sources,Types of Mana Generated,,,,,,AI Values,Color and Land Values,,,,,,Dependencies,,,Class Value Modifiers,,,,,,,,,,,,,,,,,,,,,Persistant Attributes,,Variable Attributes,,,Creature Abilities,1 has 2 gives 4 anti,,,,
311,Desert,0407,No,,,,Arabian,C11,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
312,Desert Nomads,0408,No,,,,Arabian,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
313,Desert Twister,0409,Yes,,,,Arabian,U3,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
314,Diamond Valley,0410,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
315,Drop of Honey,0411,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
316,Ebony Horse,0412,No,,,,Arabian,U2,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
317,El-Hajjaj,0413,No,,,,Arabian,U2,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,25,1,1,-,-,-,-,-,-,-,-,-
318,Elephant Graveyard,0414,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,-,-,-,-,-,-,-,-,-,-,-
319,Erg Raiders,0415,Yes,,,,Arabian,C3,C1,C1,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,3,-,-,-,-,-,-,-,-,-
320,Erhnam Djinn,0416,No,,,,Arabian,U2,-,-,-,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,5,-,-,-,-,-,-,-,-,-
321,Eye for an Eye,0417,Yes,,,,Arabian,U3,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
322,Fishliver Oil,0418,No,,,,Arabian,C3,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
323,Flying Carpet,0419,Yes,,,,Arabian,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,2,-,-,-,-,-
324,Flying Men,0420,No,,,,Arabian,C5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,1,-,-,-,-,-
325,Ghazban Ogre,0421,Yes,,,,Arabian,C4,-,-,C,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-20,2,2,-,-,-,-,-,-,-,-,-
326,Giant Tortoise,0422,No,,,,Arabian,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,4,-,-,-,-,-,-,-,-,-
327,Guardian Beast,0423,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,2,4,-,-,-,-,-,-,-,-,-
328,Hasran Ogress,0424,No,,,,Arabian,C3,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,2,-,-,-,-,-,-,-,-,-
329,Hurr Jackal,0425,No,,,,Arabian,C4,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
330,Ifh-Biff Efreet,0426,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
331,Island Fish Jasconius,0427,No,,,,Arabian,U2,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,6,8,-,-,-,-,-,-,-,-,1
332,Island of Wak-Wak,0428,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,4,-,-,-,-,-
333,Jandor's Ring,0429,No,,,,Arabian,U2,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
334,Jandor's Saddlebags,0430,Yes,,,,Arabian,U2,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
335,Jeweled Bird,0431,No,,,,Arabian,U3,-,-,-,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
336,Jihad,0432,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10,5,-,-,-,-,-,-,-,-,-
337,Junun Efreet,0433,No,,,,Arabian,U2,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,1,-,-,-,-,-
338,Juzam Djinn,0434,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-,-,-,-
339,Khabal Ghoul,0435,No,,,,Arabian,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,1,1,1,-,-,-,-,-,-
340,King Suleiman,0436,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
341,Kird Ape,0437,No,,,,Arabian,C5,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,00001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
342,Library of Alexandria,0438,No,,,,Arabian,U3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
343,Magnetic Mountain,0439,No,,,,Arabian,U3,-,R,-,-,-,-,-,-,-,-,-,1,01000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,-,-,-,-,-,-,-,-100,-,-,-,-,-,-,-,-,-,-,-
344,Merchant Ship,0440,No,,,,Arabian,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,-,2,-,-,-,-,-,-,-,-,1
345,Metamorphosis,0441,No,,,,Arabian,C4,-,-,-,C3,-,-,-,-,-,-,Cre,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-100,-,-,-,-,-,-,-,-,-,-,-
346,Mijae Djinn,0442,No,,,,Arabian,U2,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,6,3,-,-,-,-,-,-,-,-,-
347,Moorish Cavalry,0443,No,,,,Arabian,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,1,-,-,-,,,,,,,,,,,,,,,,,,
348,Nafs Asp,0444,No,,,,Arabian,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
349,Oasis,0445,No,,,,Arabian,U4,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
350,Old Man of the Sea,0446,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,100,2,3,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
351,Oubliette,0447,No,,,,Arabian,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
352,Piety,0448,No,,,,Arabian,C3,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,15,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
353,Pyramids,0449,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
354,Repentant Blacksmith,0450,No,Very Easy,,,Arabian,U2,-,-,C,C3,-,-,-,-,-,-,-,-,00010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
355,Ring of Maruf,0451,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
356,Rukh Egg,0452,No,,,,Arabian,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,4,4,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,
357,Sandals of Abdallah,0453,No,,,,Arabian,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,01000,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
358,Sandstorm,0454,No,,,,Arabian,C4,-,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
359,Serendib Djinn,0455,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,5,6,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,
360,Serendib Efreet,0456,No,,,,Arabian,U2,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-50,3,4,-,-,-,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,
361,Shahrazad,0457,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
362,Sindbad,0458,No,,,,Arabian,U3,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
363,Singing Tree,0459,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,-,3,-,-,-,-,-,-,-,-,-
364,Sorceress Queen,0460,Yes,,,,Arabian,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
365,Stone Throwing Devils,0461,No,,,,Arabian,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,1,-,-
366,Unstable Mutation,0462,No,,,,Arabian,C5,C ,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,3,-,-,-,-,-,-,-,-,-
367,War Elephant,0463,No,,,,Arabian,C3,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,1,1,-,-,-
368,Wyluli Wolf,0464,Yes,,,,Arabian,C4,-,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
369,Ydwen Efreet,0465,No,,,,Arabian,U2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0,3,6,-,-,-,-,-,-,-,-,-
370,Amulet of Kroog,0466,Yes,,,,Antiquities,C4,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-
371,Argivian Archaeoligist,0467,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
372,Argivian Blacksmith,0468,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-,-,-,-
373,Argothian Pixies,0469,No,,,,Antiquities,C4,-,-,-,C3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,2,1,-,-,-,-,-,-,-,-,-
374,Argothian Treefolk,0470,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,3,5,-,-,-,-,-,-,-,-,-
375,Armageddon Clock,0471,No,,,,Antiquities,U2,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
376,Artifact Blast,0472,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
378,Artifact Ward,0473,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
379,Ashnod's Altar,0474,Yes,,,,Antiquities,U2,-,-,U,C2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,2,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
380,Ashnod's Battle Gear,0475,No,,,,Antiquities,U2,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,1,2,-,-,-,-,-,-,-,0,2,-,-,-,-,-,-,-,-,-,-
381,Ashnod's Transmogrant,0476,No,Hard,Dwarven Weaponsmith,Add Type,Antiquities,U3,-,-,C,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
382,Atog,0477,Yes,,,,Antiquities,C4,C ,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,2,-,-,-,-,-,-,-,-,-
383,Battering Ram,0478,Yes,,,,Antiquities,C4,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,1,-,-,-,-
384,Bronze Tablet,0479,No,,,,Antiquities,U1,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
385,Candelabra of Tawnos,0480,No,,,,Antiquities,U1,-,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
386,Circle of Protection: Artifacts,0481,Yes,,,,Antiquities,U3,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
387,Citanul Druid,0482,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
388,Clay Statue,0483,Yes,,,,Antiquities,C4,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,3,1,-,-,-,-,-,-,-,-,-
389,Clockwork Avian,0484,No,,,,Antiquities,U1,-,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,4,4,-,-,-,1,-,-,-,-,-
390,Colossus of Sardia,0485,Yes,,,,Antiquities,C4,-,C,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,9,9,-,-,-,-,-,1,-,-,-
391,Coral Helm,0486,Yes,,,,Antiquities,U1,-,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,-,-,2,2,1,-,-,-,-,-,-
392,Crumble,0487,Yes,,,,Antiquities,C4,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
393,Cursed Rack,0488,No,,,,Antiquities,C1,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
394,Damping Field,0489,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
395,Detonate,0490,Yes,,,,Antiquities,U3,-,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
396,Drafna's Restoration,0491,No,,,,Antiquities,C4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
397,Dragon Engine,0492,Yes,,,,Antiquities,R,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,1,3,1,-,1,-,-,-,-,-,-
398,Dwarven Weaponsmith,0493,No,,,,Antiquities,U3,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
399,Energy Flux,0494,Yes,,,,Antiquities,U3,U,U,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
400,Feldon's Cane,0495,Yes,,,,Antiquities,C1,-,-,U,C2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
401,Gaea's Avenger,0496,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
402,Gate to Phyrexia,0497,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
403,Goblin Artisans,0498,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-
404,Golgothian Sylex,0499,No,,,,Antiquities,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
405,Grapeshot Catapult,0500,Yes,,,,Antiquities,C4,-,C,C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,0,2,3,-,-,-,4,-,-,-,-,-
406,Haunting Wind,0501,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
407,Hurkyl's Recall,0502,Yes,,,,Antiquities,U1,R,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
408,Ivory Tower,0503,No,,,,Antiquities,U3,R,R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-
409,Jalum Tome,0504,Yes,,,,Antiquities,U2,-,-,R,U1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
410,Martyrs of Korlis,0505,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,0,1,6,-,-,-,-,-,-,-,-,-
411,Mightstone,0506,No,,,,Antiquities,U3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,0,5,-,-,-,-,-,-,-,-,-,-
